geoid,tract_name,as_of,nowcast_gap,baseline_gap,delta,uncertainty,coverage_score
36119012501,Census Tract 125.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012502,Census Tract 125.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012503,Census Tract 125.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012600,Census Tract 126,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012700,Census Tract 127,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012803,Census Tract 128.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012804,Census Tract 128.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119012900,Census Tract 129,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013000,Census Tract 130,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013102,Census Tract 131.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013103,Census Tract 131.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013104,Census Tract 131.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013201,Census Tract 132.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013202,Census Tract 132.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013301,Census Tract 133.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013304,Census Tract 133.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013401,Census Tract 134.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013402,Census Tract 134.02,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013500,Census Tract 135,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013600,Census Tract 136,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013700,Census Tract 137,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013800,Census Tract 138,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119013900,Census Tract 139,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014000,Census Tract 140,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014100,Census Tract 141,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014200,Census Tract 142,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014300,Census Tract 143,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014400,Census Tract 144,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014500,Census Tract 145,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014604,Census Tract 146.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014605,Census Tract 146.05,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014606,Census Tract 146.06,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014607,Census Tract 146.07,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014701,Census Tract 147.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014703,Census Tract 147.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014704,Census Tract 147.04,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014805,Census Tract 148.05,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014806,Census Tract 148.06,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014808,Census Tract 148.08,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014809,Census Tract 148.09,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014810,Census Tract 148.10,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014811,Census Tract 148.11,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014812,Census Tract 148.12,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014813,Census Tract 148.13,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014901,Census Tract 149.01,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014903,Census Tract 149.03,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014907,Census Tract 149.07,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014908,Census Tract 149.08,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119014909,Census Tract 149.09,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119015000,Census Tract 150,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
36119015100,Census Tract 151,2026-06-11T20:37:58.636733+00:00,0.08720,0.08400,0.00320,0.02830,0.750
